"date","county","county.1","date.1","alive.total","alive.suspect","alive.probable","dead.total","cum.total","cum.suspect","cum.probable","cum.confirm","cum.death","new.hcw.cases","new.hcw.deaths","cum.hcw.cases","cum.hcw.deaths","new.contacts","under.followup","seen.on.day","completed.21d.followup","lost.followup","alive.confirm","dead.suspect","dead.probable","dead.community","dead.patients"
2014-12-06,"Grand Cape Mount","Grand Cape Mount",2014-12-06,4,3,3,1,157,47,49,61,82,NA,NA,10,4,29,386,385,0,1,0,0,1,1,0
2014-12-06,"Grand Gedeh","Grand Gedeh",2014-12-06,0,0,0,0,10,8,0,2,5,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0
2014-12-06,"Grand Kru","Grand Kru",2014-12-06,0,0,0,0,36,14,18,4,27,NA,NA,0,0,0,72,72,38,10,0,0,0,0,0
2014-12-06,"Lofa","Lofa",2014-12-06,0,0,0,0,645,171,148,326,385,NA,NA,22,16,0,66,66,0,0,0,0,0,0,0
2014-12-06,"Margibi","Margibi",2014-12-06,0,0,0,0,1254,415,474,365,550,NA,NA,71,38,0,1764,1518,0,17,1,0,0,0,0
2014-12-06,"Maryland","Maryland",2014-12-06,0,0,0,0,21,15,2,4,17,NA,NA,1,0,0,16,16,0,0,0,0,0,0,0
2014-12-06,"Montserrado","Montserrado",2014-12-06,3,2,1,4,4149,1733,786,1630,1688,NA,NA,179,81,186,3142,3138,0,0,3,1,3,0,4
2014-12-06,"National","National",2014-12-06,11,5,6,5,7735,3056,1810,2869,3212,NA,NA,366,175,215,5775,5512,72,40,6,1,4,1,4
2014-12-06,"Nimba","Nimba",2014-12-06,1,1,0,0,322,80,128,114,53,NA,NA,12,2,0,0,0,0,0,0,0,0,0,0
2014-12-06,"River Cess","River Cess",2014-12-06,0,0,0,0,41,9,12,20,26,NA,NA,0,0,0,0,0,6,0,0,0,0,0,0
2014-12-06,"River Gee","River Gee",2014-12-06,0,0,0,0,19,7,5,7,8,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0
2014-12-06,"Sinoe","Sinoe",2014-12-06,0,0,0,0,37,18,3,16,14,NA,NA,1,0,0,46,46,0,0,0,0,0,0,0
2014-12-07,"Bomi","Bomi",2014-12-07,0,0,0,0,293,83,75,135,158,NA,NA,18,14,0,112,112,0,1,0,0,0,0,0
2014-12-07,"Bong","Bong",2014-12-07,1,1,0,0,557,390,32,135,124,NA,NA,41,16,0,100,100,0,0,0,0,0,0,0
2014-12-07,"Gbarpolu","Gbarpolu",2014-12-07,0,0,0,0,38,25,3,10,10,NA,NA,0,0,0,0,0,8,0,0,0,0,0,0
2014-12-07,"Grand Bassa","Grand Bassa",2014-12-07,0,0,0,0,154,41,73,40,65,NA,NA,8,4,0,46,38,28,2,0,0,0,0,0
2014-12-07,"Grand Cape Mount","Grand Cape Mount",2014-12-07,1,0,1,0,157,47,49,61,82,NA,NA,10,4,0,386,385,0,0,2,0,0,0,0
2014-12-07,"Grand Gedeh","Grand Gedeh",2014-12-07,0,0,0,0,10,8,0,2,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,"Grand Kru","Grand Kru",2014-12-07,0,0,0,0,36,14,18,4,27,NA,NA,0,0,0,34,24,0,10,0,0,0,0,0
2014-12-07,"Lofa","Lofa",2014-12-07,0,0,0,0,645,171,148,326,385,NA,NA,22,16,0,0,0,0,0,0,0,0,0,0
